Year,State,Crime_Category,Crime_Type,Cases,Level
2017,Perlis,Property,Property,472,Main
2017,Perlis,Assault,Causing Injury,47,Subcategory
2017,Perlis,Assault,Murder,2,Subcategory
2017,Perlis,Assault,Rape,30,Subcategory
2017,Perlis,Assault,Robbery Gang,25,Subcategory
2017,Perlis,Assault,Robbery Solo,28,Subcategory
2017,Perlis,Property,Break In,88,Subcategory
2017,Perlis,Property,Theft Other,182,Subcategory
2017,Perlis,Property,Theft Vehicle,202,Subcategory
2017,Pulau Pinang,Assault,Assault,1078,Main
2017,Pulau Pinang,Property,Property,4474,Main
2017,Pulau Pinang,Assault,Causing Injury,275,Subcategory
2017,Pulau Pinang,Assault,Murder,17,Subcategory
2017,Pulau Pinang,Assault,Rape,80,Subcategory
2017,Pulau Pinang,Assault,Robbery Gang,481,Subcategory
2017,Pulau Pinang,Assault,Robbery Solo,225,Subcategory
2017,Pulau Pinang,Property,Break In,868,Subcategory
2017,Pulau Pinang,Property,Theft Other,861,Subcategory
2017,Pulau Pinang,Property,Theft Vehicle,2745,Subcategory
2017,Sabah,Assault,Assault,761,Main
2017,Sabah,Property,Property,5475,Main
2017,Sabah,Assault,Causing Injury,230,Subcategory
2017,Sabah,Assault,Murder,36,Subcategory
2017,Sabah,Assault,Rape,211,Subcategory
2017,Sabah,Assault,Robbery Gang,163,Subcategory
2017,Sabah,Assault,Robbery Solo,121,Subcategory
2017,Sabah,Property,Break In,1908,Subcategory
2017,Sabah,Property,Theft Other,2541,Subcategory
2017,Sabah,Property,Theft Vehicle,1026,Subcategory
2017,Sarawak,Assault,Assault,876,Main
2017,Sarawak,Property,Property,5505,Main
2017,Sarawak,Assault,Causing Injury,368,Subcategory
2017,Sarawak,Assault,Murder,27,Subcategory
2017,Sarawak,Assault,Rape,150,Subcategory
2017,Sarawak,Assault,Robbery Gang,240,Subcategory
2017,Sarawak,Assault,Robbery Solo,91,Subcategory
2017,Sarawak,Property,Break In,1314,Subcategory
2017,Sarawak,Property,Theft Other,1284,Subcategory
2017,Sarawak,Property,Theft Vehicle,2907,Subcategory
2017,Selangor,Assault,Assault,6470,Main
2017,Selangor,Property,Property,19599,Main
